2025-05-06 00:00:36,935 - INFO - New day started - Logs reset for 2025-05-06
2025-05-06 00:03:46,729 - ERROR - Error checking position for BOME/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:46,787 - ERROR - Error checking position for ORCA/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:46,851 - ERROR - Error checking position for AMB/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:46,919 - ERROR - Error checking position for BOND/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:46,978 - ERROR - Error checking position for NEAR/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:47,039 - ERROR - Error checking position for HIPPO/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:47,102 - ERROR - Error checking position for BAKE/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:47,166 - ERROR - Error checking position for FXS/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:47,236 - ERROR - Error checking position for 1000PEPE/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:47,293 - ERROR - Error checking position for ACX/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:47,357 - ERROR - Error checking position for LINK/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:47,417 - ERROR - Error checking position for POL/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:47,480 - ERROR - Error checking position for MOODENG/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:47,543 - ERROR - Error checking position for ATOM/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:47,605 - ERROR - Error checking position for PHA/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:47,669 - ERROR - Error checking position for ORDI/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:47,731 - ERROR - Error checking position for DOGE/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:47,795 - ERROR - Error checking position for XLM/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:47,859 - ERROR - Error checking position for GALA/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:47,923 - ERROR - Error checking position for TNSR/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:47,986 - ERROR - Error checking position for GRASS/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:48,046 - ERROR - Error checking position for DOT/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:48,111 - ERROR - Error checking position for ZRO/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:48,174 - ERROR - Error checking position for BNB/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:48,236 - ERROR - Error checking position for THETA/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:03:48,301 - ERROR - Error checking position for ARPA/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
